[some cut off section]

WARNING  | 2025-06-23 16:01:41,920 | angr.engines.vex.claripy.ccall | Operation ADC with condition CondLE is not supported in pc_calculate_condition_simple(). Consider implementing.
WARNING  | 2025-06-23 16:01:41,936 | angr.engines.vex.claripy.ccall | Operation ADC with condition CondLE is not supported in pc_calculate_condition_simple(). Consider implementing.
WARNING  | 2025-06-23 16:01:41,950 | angr.engines.vex.claripy.ccall | Operation DEC with condition CondNB is not supported in pc_calculate_condition_simple(). Consider implementing.
WARNING  | 2025-06-23 16:01:42,166 | angr.engines.vex.claripy.ccall | Operation ADC with condition CondS is not supported in pc_calculate_condition_simple(). Consider implementing.
WARNING  | 2025-06-23 16:01:42,178 | angr.engines.vex.claripy.ccall | Operation ADC with condition CondS is not supported in pc_calculate_condition_simple(). Consider implementing.
WARNING  | 2025-06-23 16:01:42,223 | angr.engines.vex.claripy.ccall | Operation ADC with condition CondS is not supported in pc_calculate_condition_simple(). Consider implementing.
WARNING  | 2025-06-23 16:01:42,237 | angr.engines.vex.claripy.ccall | Operation ADC with condition CondS is not supported in pc_calculate_condition_simple(). Consider implementing.
WARNING  | 2025-06-23 16:01:43,345 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address -0x7ed1d1c5 does not appear to be mapped
WARNING  | 2025-06-23 16:01:53,554 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address 0xd50e811 does not appear to be mapped
WARNING  | 2025-06-23 16:01:58,119 | angr.engines.vex.claripy.ccall | Operation SBB with condition CondL is not supported in pc_calculate_condition_simple(). Consider implementing.
ERROR    | 2025-06-23 16:01:58,182 | angr.analyses.fcp.fcp.SimEngineFCPVEX | Unsupported Dirty x86g_dirtyhelper_SxDT.
WARNING  | 2025-06-23 16:02:02,483 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address -0xe503e09 does not appear to be mapped
WARNING  | 2025-06-23 16:02:03,028 | angr.engines.vex.claripy.ccall | Operation DEC with condition CondP is not supported in pc_calculate_condition_simple(). Consider implementing.
WARNING  | 2025-06-23 16:02:03,040 | angr.engines.vex.claripy.ccall | Operation DEC with condition CondP is not supported in pc_calculate_condition_simple(). Consider implementing.
WARNING  | 2025-06-23 16:02:03,052 | angr.engines.vex.claripy.ccall | Operation DEC with condition CondP is not supported in pc_calculate_condition_simple(). Consider implementing.
WARNING  | 2025-06-23 16:02:04,025 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address 0x407d5506 does not appear to be mapped
WARNING  | 2025-06-23 16:02:04,029 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address 0x407d5506 does not appear to be mapped
WARNING  | 2025-06-23 16:02:04,473 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address -0x17c4dd2c does not appear to be mapped
WARNING  | 2025-06-23 16:02:12,346 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address -0x67f14769 does not appear to be mapped
WARNING  | 2025-06-23 16:02:15,662 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address 0x14fe3023 does not appear to be mapped
WARNING  | 2025-06-23 16:02:18,681 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address 0xe28c43f does not appear to be mapped
WARNING  | 2025-06-23 16:02:19,914 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address 0x23e59720 does not appear to be mapped
WARNING  | 2025-06-23 16:02:20,506 | angr.engines.vex.claripy.ccall | Operation DEC with condition CondO is not supported in pc_calculate_condition_simple(). Consider implementing.
WARNING  | 2025-06-23 16:02:20,518 | angr.engines.vex.claripy.ccall | Operation DEC with condition CondO is not supported in pc_calculate_condition_simple(). Consider implementing.
WARNING  | 2025-06-23 16:02:20,547 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address -0x7955d46a does not appear to be mapped
WARNING  | 2025-06-23 16:02:29,311 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address 0x245697bd does not appear to be mapped
WARNING  | 2025-06-23 16:02:38,260 | angr.engines.vex.claripy.ccall | Operation SBB with condition CondP is not supported in pc_calculate_condition_simple(). Consider implementing.
WARNING  | 2025-06-23 16:02:41,456 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address 0x50d17002 does not appear to be mapped
WARNING  | 2025-06-23 16:02:41,937 | angr.engines.vex.claripy.ccall | Operation SMUL with condition CondO is not supported in pc_calculate_condition_simple(). Consider implementing.
WARNING  | 2025-06-23 16:02:41,950 | angr.engines.vex.claripy.ccall | Operation SMUL with condition CondO is not supported in pc_calculate_condition_simple(). Consider implementing.
WARNING  | 2025-06-23 16:02:55,412 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address 0x7bb50d63 does not appear to be mapped
WARNING  | 2025-06-23 16:03:15,317 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address -0x49494462 does not appear to be mapped
ERROR    | 2025-06-23 16:03:23,600 | angr.analyses.fcp.fcp.SimEngineFCPVEX | Unsupported Dirty x86g_dirtyhelper_LGDT_LIDT.
WARNING  | 2025-06-23 16:03:27,317 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address -0x7c7c549 does not appear to be mapped
WARNING  | 2025-06-23 16:03:31,938 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address 0x12eae267 does not appear to be mapped
WARNING  | 2025-06-23 16:03:31,939 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address 0x12eae267 does not appear to be mapped
WARNING  | 2025-06-23 16:03:31,939 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address 0x12eae267 does not appear to be mapped
WARNING  | 2025-06-23 16:03:31,945 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address 0x12eae267 does not appear to be mapped
WARNING  | 2025-06-23 16:03:37,627 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address 0x5296fa7e does not appear to be mapped
WARNING  | 2025-06-23 16:03:48,478 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address -0x4c4fb7e does not appear to be mapped
WARNING  | 2025-06-23 16:04:08,433 | claripy.backends.backend_vsa.strided_interval | Tried to cast_low an interval to an interval shorter than its stride.
WARNING  | 2025-06-23 16:04:08,433 | claripy.backends.backend_vsa.strided_interval | Tried to cast_low an interval to an interval shorter than its stride.
WARNING  | 2025-06-23 16:04:08,433 | claripy.backends.backend_vsa.strided_interval | Tried to cast_low an interval to an interval shorter than its stride.
WARNING  | 2025-06-23 16:04:08,433 | claripy.backends.backend_vsa.strided_interval | Tried to cast_low an interval to an interval shorter than its stride.
WARNING  | 2025-06-23 16:04:08,434 | claripy.backends.backend_vsa.strided_interval | Tried to cast_low an interval to an interval shorter than its stride.
WARNING  | 2025-06-23 16:04:10,598 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address -0x565f1477 does not appear to be mapped
WARNING  | 2025-06-23 16:04:19,586 | claripy.backends.backend_vsa.strided_interval | Tried to cast_low an interval to an interval shorter than its stride.
ERROR    | 2025-06-23 16:04:40,080 | angr.analyses.fcp.fcp.SimEngineFCPVEX | Unsupported Dirty x86g_dirtyhelper_RDMSR.
ERROR    | 2025-06-23 16:04:55,871 | angr.analyses.fcp.fcp.SimEngineFCPVEX | Unsupported Dirty x86g_dirtyhelper_FXRSTOR.
WARNING  | 2025-06-23 16:04:58,692 | angr.engines.vex.claripy.ccall | Operation ADD with condition CondP is not supported in pc_calculate_condition_simple(). Consider implementing.
WARNING  | 2025-06-23 16:04:58,717 | angr.engines.vex.claripy.ccall | Operation ADD with condition CondP is not supported in pc_calculate_condition_simple(). Consider implementing.
WARNING  | 2025-06-23 16:05:18,918 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address 0x6e0aa576 does not appear to be mapped
WARNING  | 2025-06-23 16:05:21,273 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address 0x3848e12e does not appear to be mapped
WARNING  | 2025-06-23 16:05:27,953 | angr.engines.vex.claripy.ccall | Operation LOGIC with condition CondO is not supported in pc_calculate_condition_simple(). Consider implementing.
WARNING  | 2025-06-23 16:05:27,967 | angr.engines.vex.claripy.ccall | Operation LOGIC with condition CondO is not supported in pc_calculate_condition_simple(). Consider implementing.
WARNING  | 2025-06-23 16:05:27,982 | angr.engines.vex.claripy.ccall | Operation LOGIC with condition CondO is not supported in pc_calculate_condition_simple(). Consider implementing.
WARNING  | 2025-06-23 16:05:30,100 | claripy.backends.backend_vsa.strided_interval | Tried to cast_low an interval to an interval shorter than its stride.
WARNING  | 2025-06-23 16:05:30,115 | claripy.backends.backend_vsa.strided_interval | Tried to cast_low an interval to an interval shorter than its stride.
WARNING  | 2025-06-23 16:05:30,129 | claripy.backends.backend_vsa.strided_interval | Tried to cast_low an interval to an interval shorter than its stride.
WARNING  | 2025-06-23 16:05:59,248 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address 0x27bdc48 does not appear to be mapped
WARNING  | 2025-06-23 16:06:32,170 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address -0xbda5d89 does not appear to be mapped
WARNING  | 2025-06-23 16:06:38,387 | angr.engines.vex.claripy.ccall | Operation ADC with condition CondP is not supported in pc_calculate_condition_simple(). Consider implementing.
WARNING  | 2025-06-23 16:06:40,963 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address -0x4835e484 does not appear to be mapped
WARNING  | 2025-06-23 16:07:07,192 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address -0x2f0a7c60 does not appear to be mapped
WARNING  | 2025-06-23 16:07:07,222 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address -0x2f0a7c60 does not appear to be mapped
WARNING  | 2025-06-23 16:07:13,493 | angr.engines.vex.claripy.ccall | Operation SBB with condition CondB is not supported in pc_calculate_condition_simple(). Consider implementing.
WARNING  | 2025-06-23 16:07:35,102 | angr.analyses.cfg.indirect_jump_resolvers.x86_pe_iat | Address -0x6308db8a does not appear to be mapped
